TrailID,TraceNameID,TraceName
49871,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
49871,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
49871,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
49871,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
49871,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
49879,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
49879,50,AutomationCalculator.ProcessHistory.Common.FraudSuspect
49879,15,AutomationCalculator.ProcessHistory.AutoApproval.IsBrokerCustomer
49879,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
49879,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
49879,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
49879,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
49975,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
49975,6,AutomationCalculator.ProcessHistory.AutoApproval.ConsumerScore
49975,16,AutomationCalculator.ProcessHistory.AutoApproval.MarketplaceSeniority
49975,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
49975,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
49975,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
49983,6,AutomationCalculator.ProcessHistory.AutoApproval.ConsumerScore
49983,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
49983,9,AutomationCalculator.ProcessHistory.AutoApproval.DefaultAccounts
49983,28,AutomationCalculator.ProcessHistory.AutoApproval.WorstCaisStatus
49983,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
49983,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
49983,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
49999,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
49999,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
49999,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
49999,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
49999,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
50061,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
50061,7,AutomationCalculator.ProcessHistory.AutoApproval.CustomerIsDirector
50061,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
50061,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
50061,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
50077,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
50077,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
50077,11,AutomationCalculator.ProcessHistory.AutoApproval.HmrcIsOfBusiness
50077,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
50077,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
50077,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
50105,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
50105,15,AutomationCalculator.ProcessHistory.AutoApproval.IsBrokerCustomer
50105,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
50105,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
50105,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
50105,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
50129,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
50129,9,AutomationCalculator.ProcessHistory.AutoApproval.DefaultAccounts
50129,28,AutomationCalculator.ProcessHistory.AutoApproval.WorstCaisStatus
50129,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
50129,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
50129,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
50153,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
50153,23,AutomationCalculator.ProcessHistory.AutoApproval.OutstandingRepayRatio
50153,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
50153,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
50153,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
50177,15,AutomationCalculator.ProcessHistory.AutoApproval.IsBrokerCustomer
50177,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
50177,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
50177,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
50177,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
50185,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
50185,15,AutomationCalculator.ProcessHistory.AutoApproval.IsBrokerCustomer
50185,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
50185,9,AutomationCalculator.ProcessHistory.AutoApproval.DefaultAccounts
50185,28,AutomationCalculator.ProcessHistory.AutoApproval.WorstCaisStatus
50185,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
50185,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
50185,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
50237,9,AutomationCalculator.ProcessHistory.AutoApproval.DefaultAccounts
50237,7,AutomationCalculator.ProcessHistory.AutoApproval.CustomerIsDirector
50237,28,AutomationCalculator.ProcessHistory.AutoApproval.WorstCaisStatus
50237,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
50237,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
50237,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
50257,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
